fecha_inicio,fecha_fin,anio,anio_epi,semana,semana_id,duracion_horas,duracion_horas_num,duracion_es_rango,duracion_incompleta,zona_ciudad,sectores_ejemplo,n_sectores_listados,motivo,tipo_corte,pidio_almacenar,almacenar,fuente,url,confianza
2023-03-14,2023-03-15,2023,2023,11,2023-W11,,,0,1,norte/centro/via a la costa,Sauces 9;Los Senderos;Terra Nostra;Urdesa Central;Martha de Roldos,5,"limpieza y desinfeccion de reservas, cambio de valvulas, investigacion de red",programado,si,1.0,El Universo/Emapag,https://www.eluniverso.com/guayaquil/comunidad/corte-suspension-servicio-agua-potable-guayaquil-interagua-emapag-nota/,B
2023-04-04,2023-04-06,2023,2023,14,2023-W14,,,0,1,norte/sur,Sergio Toral;Girasoles;Nueva Prosperina;Punta Esmeralda;Sagrada Familia,5,"pruebas de presion, desviacion de tuberia, instalacion de hidrantes/valvulas",programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-en-guayaquil-por-trabajos-que-se-ejecutaran-entre-este-martes-4-y-jueves-6-de-abril-nota/,B
2023-04-24,2023-04-29,2023,2023,17,2023-W17,,,0,1,norte/sur/via a la costa,Kennedy Norte;Modelo;Flor de Bastion;Vilcabamba;Bosques de la Costa,5,"pruebas de presion/calidad, Step Test, mejora de servicio",programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-potable-guayaquil-del-24-al-27-de-abril-2023-emapag-nota/,B
2023-05-02,2023-05-05,2023,2023,18,2023-W18,,,0,1,norte/sur,Guayacanes;Mucho Lote II;Metropolis II;La Florida;autopista Narcisa de Jesus,5,"instalacion de valvulas/equipos de medicion, interconexion, investigacion con camaras",programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/guayacanes-urbanizaciones-de-la-autopista-narcisa-de-jesus-y-otros-sectores-del-norte-y-sur-se-quedaran-sin-agua-entre-el-2-y-5-de-mayo-nota/,B
2023-05-29,2023-06-03,2023,2023,22,2023-W22,,,0,1,norte/centro/suburbio,Juan Bautista;Pascuales;La Florida;parroquia Roca;Jambeli,5,"instalacion de valvulas reguladoras de presion, pruebas de presion, camaras",programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/estos-son-los-sectores-del-norte-centro-y-suburbio-que-tendran-suspension-del-servicio-de-agua-potable-entre-el-29-de-mayo-y-3-de-junio-nota/,B
2023-06-12,2023-06-16,2023,2023,24,2023-W24,,,0,1,norte/centro/sur,Los Ceibos;Las Cumbres;Las Orquideas;Jardines del Salado;Jaime Roldos,5,"pruebas de presion, investigacion con camaras, instalacion de sifon (40+ sectores)",programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-interagua-entre-el-12-y-16-de-junio-nota/,B
2023-07-03,2023-07-06,2023,2023,27,2023-W27,,,0,1,norte/centro/sur/suroeste,Reina del Quinche;Los Manguitos;Pascuales;suburbio Febres Cordero,4,"reduccion de agua no contabilizada, interconexion en red (35 sectores)",programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-agua-potable-35-sectores-guayaquil-trabajos-interagua-nota/,B
2023-07-11,2023-07-13,2023,2023,28,2023-W28,,,0,1,centro/norte/parroquias,isla Puna Alta;coop 25 de Julio;parroquia Ayacucho;Puerto El Morro,4,"interconexion en red, investigacion con camaras, instalacion de sifon",programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/sectores-de-guayaquil-que-tendran-cortes-de-agua-entre-el-11-y-13-de-julio-por-trabajos-de-interagua-nota/,B
2023-07-17,2023-07-21,2023,2023,29,2023-W29,,,0,1,norte/centro/sur,cerro del Carmen;Bastion Popular;Los Ceibos;Chongon;IESS Naval Sur,5,"cambio de valvulas, pruebas de presion, investigacion con camaras",programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/los-ceibos-cerro-del-carmen-y-otros-sectores-del-norte-y-sur-se-quedaran-sin-agua-entre-el-17-y-21-de-julio-nota/,B
2023-07-25,2023-07-28,2023,2023,30,2023-W30,,,0,1,norte/centro/parroquias rurales,Posorja;El Morro;Los Ceibos;Las Cumbres;cerro del Carmen,5,"limpieza de pozos, trabajos planta San Juan, cambio de valvulas (26 sectores)",programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/interagua-guayaquil-cortes-de-agua-semana-24-al-27-de-julio-nota/,B
2023-08-14,2023-08-20,2023,2023,33,2023-W33,,,0,1,norte/centro/sur,sectores en comunicado oficial,1,trabajos programados,programado,,,Interagua,https://www.interagua.com.ec/interrupciones/interrupcion-trabajos-programados-del-14-al-20-de-agosto-10082023,A
2023-08-28,2023-09-01,2023,2023,35,2023-W35,,,0,1,norte/centro/sur,sectores en comunicado oficial,1,trabajos programados,programado,,,Interagua,https://www.interagua.com.ec/interrupciones/interrupcion-trabajos-programados-del-28-de-agosto-al-1-de-septiembre-25082023,A
2023-09-05,2023-09-06,2023,2023,36,2023-W36,,,0,1,norte/centro/via a la costa,Espol;28 de Abril;Puerto Azul;parroquia Ayacucho;Simon Bolivar;Inmaconsa,6,"pruebas de presion, limpieza/desinfeccion de reservas, pase de camaras",programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-en-guayaquil-entre-el-5-y-6-de-septiembre-por-trabajos-de-interagua-nota/,B
2023-09-11,2023-09-16,2023,2023,37,2023-W37,4-10,7.0,1,0,norte/centro/sur (42 sectores),Mucho Lote 7;Ciudad Santiago 1-8;Urdesa Norte;Mapasingue oeste;Puerto El Morro,5,"pruebas de presion, interconexion, limpieza de reservas, valvulas",programado,,,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-en-guayaquil-septiembre-interagua-trabajos-nota/,B
2023-09-19,2023-09-22,2023,2023,38,2023-W38,,,0,1,norte/via a la costa,Ebanos;Doña Bertha;Vergeles;Samanes 1;Laguna Club;Montebello;Albatros,7,pruebas de presion + interconexion,programado,,,El Universo,https://www.eluniverso.com/guayaquil/comunidad/samanes-y-ciudadelas-de-via-a-la-costa-tendran-cortes-de-agua-entre-el-19-y-22-de-septiembre-nota/,B
2023-10-16,2023-10-20,2023,2023,42,2023-W42,,,0,1,norte/sur/via a la costa,Guayaquil II;Mucho Lote II;Derecho de los Pobres;Mapasingue Oeste,4,"reparacion de fuga, mantenimiento de valvulas reguladoras, camaras (47 sectores)",programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-entre-el-16-y-20-de-octubre-por-trabajos-de-interagua-nota/,B
2023-11-14,2023-11-17,2023,2023,46,2023-W46,,,0,1,norte/centro,Urbanor;Lomas de Urdesa;Paz y Amor;parroquia Sucre,4,trabajos programados en red (35 sectores),programado,si,1.0,Primicias,https://www.primicias.ec/noticias/guayaquil/cortes-agua-guayaquil-horarios-sectores/,B
2023-11-24,2023-11-25,2023,2023,47,2023-W47,22,22.0,0,0,norte/centro/sur (35% ciudad),km9.5 via Daule;Fuerte Militar Huancavilca (Quinto Guayas),2,cambio de valvulas que interconectan acueducto 1250mm con 1800mm,programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-afectara-por-22-horas-a-mas-del-35-de-guayaquil-cambio-de-valvulas-de-acueducto-este-24-y-25-de-noviembre-nota/,B
2023-11-28,2023-12-02,2023,2023,48,2023-W48,,,0,1,norte/centro/sur,coop Renacer;Los Girasoles;El Cisne;Vergeles;Montebello,5,"interconexion en red, instalacion de hidrantes, mantenimiento de valvulas (60+ sectores)",programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/por-trabajos-programados-de-interagua-mas-de-60-sectores-de-guayaquil-se-quedaran-sin-agua-entre-el-28-de-noviembre-y-2-de-diciembre-nota/,B
2024-01-03,2024-01-05,2024,2024,1,2024-W01,4-10,7.0,1,0,norte/centro/sur,Bastion Popular 7-11;Jardines del Salado;Portete de Tarqui;Los Ceibos;Covirse,5,"pruebas de presion, interconexion, rehabilitacion de acueducto, hidrantes",programado,si,1.0,Vistazo,https://www.vistazo.com/actualidad/nacional/cortes-de-agua-en-guayaquil-varios-sectores-estaran-afectados-entre-el-3-y-5-de-enero-LE6565184,B
2024-01-08,2024-01-13,2024,2024,2,2024-W02,4-8,6.0,1,0,norte/centro,Psiquiatrico Lorenzo Ponce;29 de Junio;Los Geranios;Las Orquideas;La Atarazana;Bastion Popular,6,pruebas de presion e interconexion de red,programado,si,1.0,Expreso,https://www.expreso.ec/guayaquil/sectores-quedan-agua-8-13-enero-interagua-185098.html,B
2024-01-16,2024-01-20,2024,2024,3,2024-W03,,,0,1,norte,Unidos Venceremos;Flor de Bastion;Balerio Estacio;Samanes 1/2/6;Bastion Popular,5,rehabilitacion/interconexion/cambio de medidores/pase de camaras,programado,,,El Universo,https://www.eluniverso.com/guayaquil/comunidad/estos-sectores-de-guayaquil-tendran-cortes-de-agua-entre-el-17-y-20-de-enero-nota/,B
2024-01-22,2024-01-26,2024,2024,4,2024-W04,,,0,1,sur/via a la costa,Puerto Lisa;suburbio;Moran Valverde;Puerto Azul;Portofino;Casa Club,6,interconexion + rehabilitacion de red,programado,,,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-entre-el-22-y-26-de-enero-interagua-nota/,B
2024-03-02,2024-03-02,2024,2024,9,2024-W09,6,6.0,0,0,via a la costa,Terra Nostra;Ciudad Olimpo;Chongon;Progreso;Mamey,5,mantenimiento electrico de CNEL en subestacion de via a la costa,programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/via-a-la-costa-corte-de-agua-de-seis-horas-por-trabajos-en-subestacion-nota/,B
2024-03-17,2024-03-18,2024,2024,11,2024-W11,,,0,1,norte,Los Ceibos;Colinas de Los Ceibos;Ceibos Norte;Ceibos Altos;Los Corales,5,rotura de tuberia en cdla. Las Cumbres (fuga),emergente,,,Primicias,https://www.primicias.ec/noticias/guayaquil/agua-potable-corte-norte-guayaquil/,B
2024-04-17,2024-04-19,2024,2024,16,2024-W16,,,0,1,noroeste/zonas altas,Mapasingue;Pancho Jacome;Colinas del Hipodromo;9 de Enero,4,apagones nacionales por crisis energetica afectan estaciones de bombeo,emergente,si,1.0,Primicias,https://www.primicias.ec/noticias/guayaquil/cortes-luz-escasez-agua-interagua/,B
2024-05-03,2024-05-04,2024,2024,18,2024-W18,,,0,1,centro,cdla. Bolivariana;barrio Orellana;Tarqui;Garay;Puerto Lisa,5,fuga emergente en sector centrico,emergente,,,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-agua-sectores-guayaquil-interagua-reparacion-fuga-nota/,B
2024-06-11,2024-06-12,2024,2024,24,2024-W24,,,0,1,via a la costa,Oporto;Costalmar 2;Chongon;Valle Alto;km14.5-70,5,fuga en acueducto 700mm que cruza la carretera (50+ sectores),emergente,,,Primicias,https://www.primicias.ec/noticias/guayaquil/corte-agua-potable-via-costa-interagua-12junio/,B
2024-08-31,2024-08-31,2024,2024,35,2024-W35,18,18.0,0,0,sur/suroeste (50+ sectores),La Chala;Letamendi;Febres Cordero;Suburbio;Girasol,5,rehabilitacion de tramo de acueducto 900mm bajo puente av. Portete de Tarqui,programado,si,1.0,Teleamazonas,https://www.teleamazonas.com/sin-agua-guayaquil-31-agosto/,B
2024-09-18,2024-09-19,2024,2024,38,2024-W38,8,8.0,0,0,toda la ciudad + parroquias rurales,Guayaquil y parroquias rurales (produccion en La Toma),1,apagon electrico nacional detiene produccion/distribucion,emergente,si,1.0,Vistazo,https://www.vistazo.com/actualidad/nacional/2024-09-17-corte-agua-guayaquil-interagua-interrupcion-apagon-ecuador-MC8004592,B
2024-09-27,2024-09-28,2024,2024,39,2024-W39,12,12.0,0,0,suroeste (48-50 sectores),Febres Cordero;Letamendi;Batallon del Suburbio;Cisne 1-2;coop 11 de Enero,5,rehabilitacion 2da fase acueducto 900mm Portete de Tarqui; restricciones por corte de energia,programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/interagua-anuncia-corte-de-agua-durante-12-horas-para-este-fin-de-semana-nota/,B
2024-10-22,2024-10-23,2024,2024,43,2024-W43,,,0,1,noroeste/via a la costa,Villa Bonita;Mi Lote;km13.5-70 via costa,3,rotura de poliducto (tuberia 315mm) en Mi Lote y fuga acueducto 700mm via costa,emergente,,,Expreso,https://www.expreso.ec/guayaquil/agua-potable-fuga-ductos-villa-bonita-via-costa-218054.html,B
2024-10-30,2024-10-30,2024,2024,44,2024-W44,,,0,1,sur (30+ sectores),Guangala;Sopena;Floresta;Guasmo Norte;Caraguay,5,trabajos emergentes: renovacion de valvulas 500mm y 600mm,emergente,,,Vistazo,https://www.vistazo.com/actualidad/nacional/2024-10-30-cortes-agua-guayaquil-30-octubre-AB8232057,B
2024-11-07,2024-11-08,2024,2024,45,2024-W45,19,19.0,0,0,norte/centro (54 sectores),Lomas de Urdesa;Urdesa Norte/Central;San Marino;Las Garzas;Centro,5,rehabilitacion acueducto 1050mm en calles Tungurahua y Brasil,programado,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/estos-54-sectores-se-quedaran-sin-agua-por-19-de-horas-por-trabajos-programados-que-ejecutara-interagua-nota/,B
2024-12-11,2024-12-11,2024,2024,50,2024-W50,,,0,1,via a la costa,km13.5-74;Puerto Hondo,2,fuga en salida radial del acueducto 700mm en km17 (Puerto Hondo),emergente,si,1.0,El Universo,https://www.eluniverso.com/guayaquil/comunidad/guayaquil-servicio-de-agua-potable-se-interrumpe-en-via-a-la-costa-por-dano-en-acueducto-nota/,B
2025-02-10,2025-02-11,2025,2025,7,2025-W07,13-19,16.0,1,0,norte,La Alborada;Sauces 4,2,fuga emergente en cdla. La Alborada,emergente,,,Expreso,https://www.expreso.ec/guayaquil/corte-agua-alborada-tanqueros-debido-reparaciones-fuga-emergente-231246.html,B
2025-03-16,2025-03-17,2025,2025,11,2025-W11,22,22.0,0,0,norte,Urdesa Norte,1,fuga en la red + poste electrico en mal estado (retiro por CNEL),emergente,,,Expreso,https://www.expreso.ec/guayaquil/frustracion-urdesa-norte-22-horas-agua-tanqueros-unica-solucion-guayaquil-aquiles-alvarez-235373.html,B
2025-03-26,2025-03-26,2025,2025,13,2025-W13,,,0,1,norte,Bellavista;Sol Naciente;San Pedro;Vista Alegre;Mapasingue Este,5,reparacion de emergencia por fuga (dos frentes: Bellavista y Mapasingue),emergente,,,Expreso,https://www.expreso.ec/guayaquil/fugas-corte-agua-reparaciones-emergencia-incertidumbre-guayaquil-ciudadelas-norte-aquiles-alvarez-236545.html,B
2025-03-27,2025-03-27,2025,2025,13,2025-W13,,,0,1,norte,Bellavista;Universidad Catolica;La Fuente;San Pedro Lomas;Hermitage,5,fuga emergente en la red (cdla. Bellavista),emergente,,,Expreso,https://www.expreso.ec/guayaquil/interagua-anuncia-corte-agua-bellavista-reparacion-fuga-236650.html,B
2025-05-23,2025-05-24,2025,2025,21,2025-W21,20,20.0,0,0,via a la costa,km13.5-74;parroquia Olmedo (La Chimenea),2,rehabilitacion del acueducto 700mm La Chimenea,programado,si,1.0,Ecuavisa,https://www.ecuavisa.com/guayaquil/corte-de-agua-en-guayaquil-estos-sectores-estaran-sin-servicio-entre-el-23-y-24-de-mayo-20250522-0103.html,B
2025-05-31,2025-05-31,2025,2025,22,2025-W22,,,0,1,sur/suburbio,Guasmos;Isla Trinitaria;suburbio,3,reduccion de suministro electrico en planta La Toma (trabajos electricos),programado,si,1.0,Ecuavisa,https://www.ecuavisa.com/tema/agua-potable-t89677,B
2025-06-14,2025-06-14,2025,2025,24,2025-W24,9,9.0,0,0,via a la costa,km13.5-74;Terra Nostra;Costalmar;Chongon,4,reubicacion de linea de subtransmision electrica de CNEL,programado,si,1.0,Vistazo,https://www.vistazo.com/actualidad/2025-06-13-corte-agua-sectores-via-a-la-costa-sabado-14-junio-IB9506785,B
2025-06-27,2025-06-27,2025,2025,26,2025-W26,,,0,1,norte/noroeste,Corazon de la Patria;Jaime Roldos;Brisas de Mapasingue;Colinas de Mapasingue 3,4,reparacion de fuga en la red,emergente,si,1.0,Expreso,https://www.expreso.ec/guayaquil/corte-agua-guayaquil-sectores-servicio-jueves-247974.html,B
2025-08-03,2025-08-03,2025,2025,31,2025-W31,,,0,1,norte,Samanes I-V;Rio Sol;Guayacanes;La Carolita,4,dano en tuberia de 250mm en Samanes Etapa II (fuga),emergente,,,Expreso,https://www.expreso.ec/guayaquil/corte-de-agua-en-samanes-afecta-al-norte-de-guayaquil-252173.html,B
2025-08-30,2025-08-30,2025,2025,35,2025-W35,18,18.0,0,0,via a la costa (60 areas),km7-73;Portete de Tarqui;Puerto Azul;Ciudad Olimpo;Chongon,5,rehabilitacion de acueducto 700mm en km13.5 (27000 usuarios),programado,si,1.0,Expreso,https://www.expreso.ec/guayaquil/guayaquil-corte-agua-60-areas-via-la-costa-255129.html,B
2025-10-20,2025-10-20,2025,2025,43,2025-W43,,,0,1,norte,Guayacanes;Samanes;Alborada 13;Union Civica;Rio Sol,5,posible fuga en tuberia 600mm a la altura del colegio Tnte. Hugo Ortiz,emergente,,,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-norte-de-guayaquil-estos-son-los-sectores-que-no-tendran-servicio-nota/,B
2025-11-29,2025-11-30,2025,2025,48,2025-W48,14,14.0,0,0,via a la costa,via a la costa,1,trabajos programados (suspension 14:00 sab a 04:00 dom),programado,si,1.0,Vistazo,https://www.vistazo.com/cronologia/-/meta/interagua,B
2026-02-08,2026-02-08,2026,2026,6,2026-W06,11-16,13.5,1,0,norte/centro/sur + Duran + Nobol,Guasmo;Isla Trinitaria;Cristo del Consuelo;La Floresta;Fertisa;Las Malvinas,6,mantenimiento subestacion 69kV planta La Toma + rehabilitacion acueducto 1050mm,programado,si,1.0,Primicias,https://www.primicias.ec/guayaquil/corte-agua-guayaquil-horarios-sectores-donde-cortes-domingo-interagua-115356/,B
2026-04-14,2026-04-14,2026,2026,16,2026-W16,8,8.0,0,0,sur (30+ sectores),Coviem;Los Esteros;Fertisa;Floresta;Guasmo,5,reparacion de fuga de acueducto en sector Coviem,programado,si,1.0,Primicias,https://www.primicias.ec/guayaquil/cortes-agua-guayaquil-sur-interagua-trabajos-fuga-acueducto-coviem-120370/,B
2026-04-18,2026-04-19,2026,2026,16,2026-W16,12,12.0,0,0,norte,Mucho Lote I/II;Villa España;Bastion;La Perla;via a Daule km14-26;anillo Pascuales,6,rehabilitacion acueducto via a Daule + interconexion anillo hidraulico (con cortes electricos),programado,,,Primicias,https://www.primicias.ec/guayaquil/cortes-agua-bastion-villa-espana-via-daule-18y19abril-horarios-interagua-120568/,B
2026-05-02,2026-05-03,2026,2026,18,2026-W18,8,8.0,0,0,sur (35 sectores),Coviem;Los Esteros;Fertisa;Valdivia;Guasmo,5,fuga en acueducto 400mm en av. 25 de Julio (se extendio por ajustes tecnicos),emergente,si,1.0,Expreso,https://www.expreso.ec/guayaquil/corte-agua-sur-guayaquil-extendio-3-mayo-dice-interagua-280792.html,B
2026-08-21,2026-08-22,2026,2026,34,2026-W34,9,9.0,0,0,norte,Sauces 2/4/7/9;Acuarela del Rio;Brisas del Rio;Terminal Terrestre;Metrovia,5,fuga en acueducto (redondel Sauces 6),emergente,si,1.0,Expreso,https://www.expreso.ec/guayaquil/corte-agua-guayaquil-son-sectores-afectados-293186.html,B
2026-08-29,2026-08-29,2026,2026,35,2026-W35,,,0,1,norte,Los Vergeles y alrededores,1,dano en tuberia acueducto 600mm a la altura de Los Vergeles,emergente,,,El Universo,https://www.eluniverso.com/deportes/futbol/interagua-identifica-dano-en-tuberia-de-acueducto-de-600-mm-a-la-altura-de-los-vergeles-nota/,B
